oekobaudatProcessUuid;oekobaudatDatastockUuid;oekobaudatDatastockName;productId;tBaustoffVersion;productName;eolCategoryId;eolCategoryName;eolScenarioUnbuiltReal;eolScenarioUnbuiltPotential;technologyFactor
1401638f-b9d7-4b33-9444-b072e2756f49;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;328;2024-Q4;Vormauerziegel (ohne MÃ¶rtel);133;Ziegel - Vormauer, Vollziegel;RC+;RC+;1.0
a5b22bbe-175d-4aef-bb19-4954e699eb8c;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;301;2024-Q4;Mineralwolle (Innenausbau-DÃ¤mmung);107;Mineralwolle Steinwolle;Dep-;RC-;0.5
23b67663-f4b0-445e-bbba-b741a59d57e6;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;23;2024-Q4;Bitumenbahnen V 60 (Glasvlies, bestreut);15;Bitubahn (ggf. mit Glasvlies);EV-;RC-;0.25
a2f0ddd4-a64e-4be8-a844-922013a2ac37;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;153;2024-Q4;Kautschuk-Dichtmasse;13;Bitumenkaltkleber, Glasvlies, Glasfaserarmierung,..;EB;EB;0.0
3f764d2e-320b-4996-8c28-0f38e8971044;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;341;2024-Q4;Zellulosefaserplatten;137;Zellulosefaserplatten;EV-;EV-;0.0
143a4df2-563e-4ef9-b75b-90e1cf9f7ef9;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;3;2024-Q4;Aluminiumblech;2;Alu unbeschichtet od. eloxiert (Sz. Knetleg zu Guss);RC+;CL+;0.75
71be07b3-39ff-47ce-b1c9-9c536daeb56e;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;103;2024-Q4;Glasvlies;3;Bitumenkaltkleber, Glasvlies, Glasfaserarmierung;EB;EB;0.0
60311c13-53d4-4cee-8777-1f9c9889b770;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;300;2024-Q4;Mineralwolle (Flachdach-DÃ¤mmung);107;Mineralwolle Steinwolle;Dep-;RC-;0.5
fd3a4016-3f8c-4d8e-8bba-73b349781002;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;207;2024-Q4;Messing-Bauteil;106;Messing;CL+;CL+;1.0
591b693f-8cfe-41fc-877d-68c730d9c31d;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;339;2024-Q4;Wood-Plastic-Composites (halogenfrei);135;WPC - Nachweis halogenfrei;EV-;EV-;0.0
e2e9d29e-c775-4eef-af57-de8194db7524;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;216;2024-Q4;Natursteinplatte, hart, Fassade (Dicke 0,030 m);108;Stein unbehandelt;CL+;CL+;1.0
50d421e2-3a7b-4659-92a4-f20d6a52fcf0;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;299;2024-Q4;Mineralwolle (Fassaden-DÃ¤mmung);107;Mineralwolle Steinwolle;Dep-;RC-;0.5
