productName,UUID,S0,S1,S2,S3,S4
Mineralisch modifizierte TrockenschÃ¼ttung,c4c0957c-0e8a-4445-8672-0fc21714751b,0.99,0.005,0.07,0.885,0.005
Faserzementplatte,161e1abd-fe38-45f6-8658-8bf4fa88eb7c,0.98,0.055,0.15,0.575,0.02
Zementgebundene Spanplatte,268829ec-c8d9-4c6e-abdd-542acc494dd1,0.99,0.005,0.07,0.885,0.005
FaserverstÃ¤rkte Spachtelmasse,c5151e24-55fa-4748-862f-855ab913470f,0.96,0.155,0.215,0.455,0.015
HPL-Platte (High pressure Laminate),f0da3c81-3912-4ea2-8e6b-bc9c789e859e,0.81,0.605,0.755,0.445,0.335
XPS-DÃ¤mmstoff,c4ddfdbc-ee2b-4dd5-a754-b317cf06470a,0.96,0.025,0.17,0.75,0.02
HÃ¼ttensteine,2ad3b93b-b559-404e-8b63-99c69d472896,0.95,0.215,0.705,0.385,0.015
Dampfbremse PE,6869f7c1-1b2b-4f30-afc9-823a0104f1d9,1.0,0.0,0.0,1.0,0.0
Lacksysteme Holzfenster Grundierung weiÃ,152ff22b-522e-400e-baee-812a9c6443d9,1.0,0.0,0.57,0.42,0.0
"Transportbeton C25/30 - exkl. Bewehrung, Standard EoL",a71e60a5-b64b-4715-ae8a-c8c8819149d2,0.785,0.0,0.62,0.455,0.1
Polycarbonatplatte,dcfd896b-9b7d-42a5-b47b-3643a8870e6a,0.91,0.29,0.51,0.705,0.035
Bewehrungsstahl,f6861618-5a92-4c3a-94ba-9f7329b29662,0.37,0.0,0.98,0.02,0.005
Schnittholz Kiefer ,0b87961e-ea66-4757-b483-229ece59cb97,0.945,0.135,0.785,0.31,0.19
PUR/PIR DÃ¤mmstoff (32 kg/mÂ³),b960f95d-466b-4014-9565-64e51407a364,0.86,0.055,0.395,0.395,0.115
Naturbims KÃ¶rnung,18563fde-e042-4c4f-9a28-01de646ea9ef,0.93,0.18,0.605,0.36,0.18
PIR Hartschaum (250 kg/mÂ³),355dbd58-78dc-45cc-be8a-43d66d117e15,0.875,0.04,0.34,0.41,0.105
Stahl warmgewalzte Bleche (2-20mm),fb5aca98-636a-4dcb-b0dd-9ed09117486e,0.97,0.0,0.99,0.01,0.005
Schnittholz Fichte,f00557bd-5b73-4624-8c7b-834db8e8b106,0.945,0.135,0.785,0.31,0.19
Bimssand,5b1356cc-f9f5-46d8-b8ae-21d0a426baf4,0.93,0.18,0.605,0.36,0.18
Pfosten/Riegelsystem aus Stahl,1e56bbe7-38f8-40a5-817b-8fa10c56a66e,0.81,0.0,0.85,0.2,0.065
Steinzeugfliesen glasiert,5618689c-57a8-4860-85d3-7403ad5ba201,0.97,0.38,0.725,0.29,0.015
BlÃ¤hglas KÃ¶rnung,dad163a2-a15b-48e0-a763-6142445b5d42,0.92,0.185,0.8,0.57,0.19
Pfosten/Riegel aus Aluminium,f18ac191-cfcc-4068-a6c5-38ba25442d9b,0.785,0.0,0.62,0.455,0.1
Schnittholz Eiche,17bcb2ce-39fd-400b-baf9-370c63589efd,0.945,0.135,0.785,0.31,0.19
BlÃ¤hschiefer,e3dce4ce-b205-41b0-a033-ca8c6b1eaed0,0.92,0.185,0.8,0.57,0.19
Polyethylen-Schaum,52ac8701-d612-4cc9-8037-b2dc2a293a8c,1.0,0.0,0.12,0.845,0.0
Steinzeugfliesen unglasiert,91935678-1a09-43e0-8a84-294522407ac3,0.97,0.38,0.725,0.29,0.015
BlÃ¤hton KÃ¶rnung,67c9d57a-872a-4614-8be8-37ecaf9952e4,0.92,0.185,0.8,0.57,0.19
"Schiefer, unhandelt",909a1f8a-00d8-436f-86f9-77e0ee840a88,0.93,0.005,0.645,0.265,0.025
Schnittholz Buche ,67b6c807-3924-4bc5-b983-6aeff6537e45,0.945,0.135,0.785,0.31,0.19
BlÃ¤hton Sand,8ac5659c-5918-41bb-966d-91efdd6c4e50,0.93,0.18,0.605,0.36,0.18
PVC-Dachbahnen - nicht rÃ¼ckbaubar (Neueinstuf.),ab14e105-1768-4cd7-bcd2-3436c16fad16,0.36,0.025,0.135,0.21,0.635
StrohdÃ¤mmung,e45e2b55-a8c4-4037-bc7d-e3718c4e28f3,0.695,0.36,0.29,0.29,0.005
Lava KÃ¶rnung,2812667f-8ca5-4ee1-a9ac-7ed13045b7ff,0.92,0.185,0.8,0.57,0.19
